magnitud_clase,FREQUENCY,MEAN_dist_falla_km,MIN_dist_falla_km,MAX_dist_falla_km,COUNT_evento_id
>= 7.0,48,245.1982483276214,0.6973770354906653,701.785138476042,48
3.0 - 3.9,5629,95.27481905714563,0.0008738514182778037,841.9196219517559,5629
4.0 - 4.9,8455,210.19341512910435,0.0008994033445120634,865.783999413577,8455
5.0 - 5.9,1856,288.9084411170992,0.0030529576099201975,911.0865828028224,1856
6.0 - 6.9,302,295.4236125288321,0.07913150993636595,812.5751873429597,302
